turbina;receptor_id;x;y;dist_m;h_max_exced_m;tolerance_m;LOS_clara
YA3;LPF-1;349013.0;4599960.0;2267.3447025099645;-3.0287211942954855;1.0;True
Y09;LPF-1;349013.0;4599960.0;1404.4660907262944;-3.2587722167968423;1.0;True
Y05;LPF-1;349013.0;4599960.0;1982.0759319461;-3.5764612095956636;1.0;True
Y06;LPF-1;349013.0;4599960.0;2450.188768238072;-3.528267189308508;1.0;True
Y07;LPF-1;349013.0;4599960.0;2944.3002564276626;-3.474350058065852;1.0;True
Y8B;LPF-1;349013.0;4599960.0;3370.654684182288;-3.5891212311801155;1.0;True
YA3;PAS-1;349782.0;4599406.0;2636.753496252541;-3.592253150009583;1.0;True
Y09;PAS-1;349782.0;4599406.0;1578.3035196057822;-3.9184471452739444;1.0;True
Y05;PAS-1;349782.0;4599406.0;1763.2163792342674;-3.6397687763187605;1.0;True
Y06;PAS-1;349782.0;4599406.0;1912.3770548717634;-3.2971333007812973;1.0;True
Y07;PAS-1;349782.0;4599406.0;2227.8009336563264;-3.242405796910134;1.0;True
Y8B;PAS-1;349782.0;4599406.0;2568.131616564852;-3.07812326675014;1.0;True
YA3;PAS-2;349455.0;4599284.0;2287.7902001713355;-4.913839514417418;1.0;True
Y09;PAS-2;349455.0;4599284.0;1231.3508841918294;-7.347215068939022;1.0;True
Y05;PAS-2;349455.0;4599284.0;1480.48134064567;-7.41780321885642;1.0;True
Y06;PAS-2;349455.0;4599284.0;1748.7404038335708;-6.647224993024565;1.0;True
Y07;PAS-2;349455.0;4599284.0;2166.557638282444;-3.5888419868268784;1.0;True
Y8B;PAS-2;349455.0;4599284.0;2569.812639084803;0.5858435997596416;1.0;True
YA3;PAS-3;349455.0;4599284.0;2287.7902001713355;-4.913839514417418;1.0;True
Y09;PAS-3;349455.0;4599284.0;1231.3508841918294;-7.347215068939022;1.0;True
Y05;PAS-3;349455.0;4599284.0;1480.48134064567;-7.41780321885642;1.0;True
Y06;PAS-3;349455.0;4599284.0;1748.7404038335708;-6.647224993024565;1.0;True
Y07;PAS-3;349455.0;4599284.0;2166.557638282444;-3.5888419868268784;1.0;True
Y8B;PAS-3;349455.0;4599284.0;2569.812639084803;0.5858435997596416;1.0;True
YA3;GLO-1;350214.0;4597975.0;2924.847004545708;-6.390911306536054;1.0;True
Y09;GLO-1;350214.0;4597975.0;1993.4394899268952;-6.485359623747058;1.0;True
Y05;GLO-1;350214.0;4597975.0;1496.2088757924141;-6.666894531250023;1.0;True
Y06;GLO-1;350214.0;4597975.0;944.6761349796025;-7.296970185779401;1.0;True
Y07;GLO-1;350214.0;4597975.0;810.8230386465348;-5.858469580389169;1.0;True
Y8B;GLO-1;350214.0;4597975.0;1073.3466355283367;-5.681719141099052;1.0;True
YA3;GLO-2;350170.0;4597975.0;2881.424994685789;-5.601496003803504;1.0;True
Y09;GLO-2;350170.0;4597975.0;1952.6517866737017;-5.712538576916472;1.0;True
Y05;GLO-2;350170.0;4597975.0;1452.2152044376894;-5.909786053949233;1.0;True
Y06;GLO-2;350170.0;4597975.0;905.9210782402627;-8.404648115050122;1.0;True
Y07;GLO-2;350170.0;4597975.0;800.9406969308027;-6.359354395775313;1.0;True
Y8B;GLO-2;350170.0;4597975.0;1086.9521608608172;-6.163229636775668;1.0;True
YA3;LSC-1;351251.0;4597853.0;3968.2561661263753;-0.29455954670606843;1.0;True
Y09;LSC-1;351251.0;4597853.0;3013.8991356712654;-1.6719651799713802;1.0;True
Y05;LSC-1;351251.0;4597853.0;2537.261910012445;-2.1942008656158123;1.0;True
Y06;LSC-1;351251.0;4597853.0;1900.4557348173096;-3.321832194010426;1.0;True
Y07;LSC-1;351251.0;4597853.0;1406.1184160660155;-4.222823112241713;1.0;True
Y8B;LSC-1;351251.0;4597853.0;1159.5904449416612;-4.523312076107459;1.0;True
YA3;LSC-2;351251.0;4597853.0;3968.2561661263753;-0.29455954670606843;1.0;True
Y09;LSC-2;351251.0;4597853.0;3013.8991356712654;-1.6719651799713802;1.0;True
Y05;LSC-2;351251.0;4597853.0;2537.261910012445;-2.1942008656158123;1.0;True
Y06;LSC-2;351251.0;4597853.0;1900.4557348173096;-3.321832194010426;1.0;True
Y07;LSC-2;351251.0;4597853.0;1406.1184160660155;-4.222823112241713;1.0;True
Y8B;LSC-2;351251.0;4597853.0;1159.5904449416612;-4.523312076107459;1.0;True
YA3;BEL-1;348485.0;4596665.0;2122.688154204475;-3.939509016744182;1.0;True
Y09;BEL-1;348485.0;4596665.0;2053.6270352719844;-4.7922745867473395;1.0;True
Y05;BEL-1;348485.0;4596665.0;1355.180430791413;-4.989121112037651;1.0;True
Y06;BEL-1;348485.0;4596665.0;1247.4165302736692;-6.543886664193451;1.0;True
Y07;BEL-1;348485.0;4596665.0;1613.7846820440452;-5.211934806474687;1.0;True
Y8B;BEL-1;348485.0;4596665.0;2060.5266317133587;-5.150558061296579;1.0;True
YA3;BEL-2;348656.0;4596434.0;2409.6350346058634;-4.796648319680912;1.0;True
Y09;BEL-2;348656.0;4596434.0;2299.7412897976155;-5.482642993592435;1.0;True
Y05;BEL-2;348656.0;4596434.0;1567.226850203888;-5.650587770504671;1.0;True
Y06;BEL-2;348656.0;4596434.0;1317.7442847533052;-7.557293146306847;1.0;True
Y07;BEL-2;348656.0;4596434.0;1551.6317217690544;-7.526563806287413;1.0;True
Y8B;BEL-2;348656.0;4596434.0;1939.3545317965975;-5.470559676063203;1.0;True
