Nucli;ReceptorID;h_rec(m);Ld_turb;Ld_pre;Ld_tot;Le_turb;Le_pre;Le_tot;Ln_turb;Ln_pre;Ln_tot;Lden_turb;Lden_pre;Lden_tot;X;Y
La Pobla de Ferran;LPF-1;4.0;38.8;41.0;43.0;39.2;41.0;43.2;39.6;46.0;46.9;45.7;51.6;52.6;349013.0;4599960.0
Passanant;PAS-1;4.0;39.3;55.0;55.1;39.7;53.0;53.2;40.1;49.0;49.5;46.2;57.0;57.4;349782.0;4599406.0
Passanant;PAS-2;4.0;40.7;63.0;63.0;41.1;63.0;63.0;41.4;37.0;42.8;47.5;62.3;62.5;349455.0;4599284.0
Passanant;PAS-3;4.0;40.7;47.0;47.9;41.1;47.0;48.0;41.4;33.0;42.0;47.5;46.9;50.2;349455.0;4599284.0
Glorieta;GLO-1;4.0;44.3;42.0;46.3;44.6;42.0;46.5;44.9;53.0;53.6;51.0;58.3;59.1;350214.0;4597975.0
Glorieta;GLO-2;4.0;44.4;52.0;52.7;44.7;50.0;51.1;45.0;49.0;50.5;51.1;55.8;57.1;350170.0;4597975.0
La Sala de Comalats;LSC-1;4.0;40.4;46.0;47.0;40.7;46.0;47.1;41.1;58.0;58.1;47.2;63.3;63.4;351251.0;4597853.0
La Sala de Comalats;LSC-2;4.0;40.4;53.0;53.2;40.7;52.0;52.3;41.1;51.0;51.4;47.2;57.6;58.0;351251.0;4597853.0
Belltall;BEL-1;4.0;41.3;52.0;52.4;41.6;52.0;52.4;42.0;60.0;60.1;48.1;65.4;65.5;348485.0;4596665.0
Belltall;BEL-2;4.0;40.7;55.0;55.2;41.1;52.0;52.3;41.5;49.0;49.7;47.6;56.9;57.4;348656.0;4596434.0
